Zung1 Gwok3 pang4 jau5 | a Chinese friend
ngo5 soeng2 zou6 si6 jing3 sang1 | I would like to do the waiter
ngo5 soeng2 zou6 gaa1 ting4 zyu2 fu5 | I would like to do the housewife
ngo5 soeng2 zou6 ngai6 jan4 | I would like to do the artist
ngo5 soeng2 zou6 go1 sau2 | I would like to do the singer
keoi5 hai2 zau2 dim3 zou6 je5 | I work at hostel
keoi5 hai2 hok6 haau6 zou6 je5 | I work at school
keoi5 hai2 ji1 jyun2 zou6 je5 | I work at hospital
keoi5 hai2 can2 so2 zou6 je5 | I work at clinic
keoi5 hai2 ngan4 hong4 zou6 je5 | I work at bank
keoi5 hai2 zau2 lau4 zou6 je5 | I work at chinese resturant
keoi5 hai2 caan1 teng1 zou6 je5 | I work at restaurant
keoi5 hai2 baak3 fo3 gung1 si1 zou6 je5 | I work at department store
keoi5 hai2 bou2 him2 gung1 si1 zou6 je5 | I work at insurance company
keoi5 hai2 zing3 fu2 bou6 mun4 zou6 je5 | I work at government department
keoi5 hai2 wui6 gai3 si1 lau4 zou6 je5 | I work at accounting firm
keoi5 hai2 gung1 cong2 zou6 je5 | I work at factory
keoi5 hai2 gung1 si1 zou6 je5 | I work at company
keoi5 hai2 gin3 zuk1 gung1 si1 zou6 je5 | I work at constuction company
keoi5 hai2 dei6 caan2 gung1 si1 zou6 je5 | I work at real estate company
keoi5 hai2 ceot1 jap6 hau2 gung1 si1 zou6 je5 | I work at import/export corporation
keoi5 hai2 wan6 syu1 gung1 si1 zou6 je5 | I work at transport corporation
keoi5 hai2 din6 nou5 gung1 si1 zou6 je5 | I work at computer firm
keoi5 hai2 gam1 jung4 gung1 si1 zou6 je5 | I work at finance corporation
keoi5 hai2 hong4 hung1 gung1 si1 zou6 je5 | I work at  airline company
