a person | jat1 go3 jan4
a vehicle | jat1 gaa3 ce1
an item of clothing | jat1 gin6 saam1
a room | jat1 gaan1 fong2
a book | jat1 bun2 syu1
a dog | jat1 zek3 gau2
a pair of shoes | jat1 deoi3 haai4
a pair of pants | jat1 tiu4 fu3
a sheet of paper | jat1 zoeng1 zi2
a pen | jat1 zi1 bat1
a glass of wine | jat1 bui1 zau2
a bowl of rice | jat1 wun2 faan6
a plate of vegetables | jat1 dip6 coi3
a can of Coca-Cola | jat1 gun3 ho2 lok6
a sandwich | jat1 fan6 saam1 man4 zi6
